עומר טייכר | מדריך וטכנאי מחשבים: (22:32) : דקה שיש ודקה אני מתחיל. 
גרשון דנקנר | עיצוב ופיתוח אתרים בוורדפרס: (22:35) : פתאום אני שומע אותך. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:40) : זה לא עוד איזה לא זה השתיק אותך? 
Zizi Katz: (22:44) : יש לה שיעור. 
Zizi Katz: (22:49) : ‫למה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (22:49) : זה לא אשתיק את כולם? ‫משום מה? ‬
עומר טייכר | מדריך וטכנאי מחשבים: (22:56) : ‫אוקיי. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (23:02) : ‫יופי. אוקיי, אני מתחיל. ‫יופי. יופי. אוקיי, אני מתחיל. ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (23:11) : יופי. 
עומר טייכר | מדריך וטכנאי מחשבים: (23:15) : ערב טוב חברים. אני עומר תייכר, בן 39 מראשון לציון, עוסק בתחום המחשבים כבר למעלה מ-20 שנה. התחלתי את הדרך שלי עוד בגיל 16, כאשר התשוקה שלי לטכנולוגיה הובילה אותי לשירות ביחידת המחשבים של חיל האוויר. השירות הזה העניק לי כלים חשובים שעד היום מלווים אותי בעבודה היום יומית שלי עם לקוחות ועם מחשבים. לפני כ-10 שנים הקמתי קבוצת הפייסבוק תשאל טכנאי מחשבים שהיא אחת מהקהילות הגדולות והפעילות ביותר בתחום המחשבים יש בה מעל ל-30 אלף חברים שמספקים מענה ותמיכה טכנית למשתמשים בכל הארץ 
עומר טייכר | מדריך וטכנאי מחשבים: (24:04) : היום אנחנו בפרק השני מתוך שלוש בסדרת ההרצאות שלי מיומנו של תשאל טכנאי מחשבים. בחודש שקודם היה הפרק הראשון, היום הפרק השני, בחודש הבא פרק השלישי. אין קשר ביניהם, הכל בלי שנכנס פעם ראשונה, הכל בסדר. הערב נתמקד בתחזוקה שוטפת של המחשב, ממש כמו טיפול שנתי לרכב שכולנו מכירים נדבר על כלים וטיפים שישפרו את ביצועי המחשב שלכם ויבטיחו שהמערכת תעבוד בצורה אופטימלית לאורך זמנו. ניגע גם בבעיות נפוצות עם התפסות ובסיום, אתן לכם טיפים שישפרו את העבודה שלכם עם המחשב ויעזרו לכם לחצוך זמן ולמנוע תקלות בעתיד. אז בואו נתחיל. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:57) : אשתף את המסך שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:13) : כמו שאמרתי ברוכים הבאים להרצאה מיומנו של טכנאי מחשבים, הסודות, הכלים והטריקים שישדרגו את העבודה שלכם פרק שני בסדרה 
עומר טייכר | מדריך וטכנאי מחשבים: (25:25) : אז עכשיו אני רוצה לדבר קצת על תחזוקה שותפת למחשב אני רוצה להגיד על זה כמה מילים 
עומר טייכר | מדריך וטכנאי מחשבים: (25:35) : דמיינו את המחשב שלכם כמו מכונית שלא מתחזקים אותה היא מתחילה לצרוך יותר דלק מתקלקלת בתחיפות גבוהה יותר ובסוף פשוט לא עובדת כמו שצריך תחזוקה שוטפת למחשב היא כמו טיפול שנתי לרכב, מונד בעיות ומעריכה את חיי המערכת. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:57) : הנושא הראשון שאני רוצה לדבר עליו הוא מערכת מש. מה היא בעצם מערכת מש? בואו נעשה את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (26:06) : בדוגמה. 
עומר טייכר | מדריך וטכנאי מחשבים: (26:08) : לפני שאני מתחיל לדבר על מערכת מש אני רוצה לספר לכם על כל מיני תלונות שאני שומע על בסיס סיומי מלקוחות שלי. האינטרנט בבית חלש והמהירות נמוכה אין לנו קליטה בממד הבן שלי מתלונן שהמשחקים שלו עובדים לאט האינטרנט מתנתק כל הזמן במפגשי זום אומרים לי שהכל שלי נשמע מקוטע ולא ברור אומרים לי שהתמונה שלי נתקעת ולא יציבה 
עומר טייכר | מדריך וטכנאי מחשבים: (26:37) : אז תארו לכם בית עם תנור חימום אחד מי שיושב קרוב לתנור מרגיש חם ונעים כמו הבחור בתמונה פה אבל מי שיושב רחוק מרגיש קר אז מה זה בעצם מש? מערכת מש היא כמו פיזור של כמה תנורי חימום בבית כדי שכולם ירגישו חמים ונעים. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:02) : אז קודם כל לפני שאני מסביר על משה אני אדבר על הנתב 
עומר טייכר | מדריך וטכנאי מחשבים: (27:06) : אני פה לקחתי כל מיני תמונות מגוגל שנתבים לא מקפח פה אף חברה יש פה של אות ושל יש ושל בזק ושל פרטנר ושל סלקום כל אחד והחברה שהוא מחובר אליה זה בעצם הנתבים 
